<S> <S>+BSTag
"Elbette	elbette <adv> <Dan_0> <n>
"Elbette	elbette <adv> <Dan_0> <n> <3s>
verdi	verdi <n> <3p>
verdi	ver <v> <t_past> <3s>
verdi	ver <v> <t_past> <3p>
Alice:	ali <n> <D_CA> <adj> <Djn_0> <n>
Alice:	ali <n> <D_CA> <adj> <Djn_0> <n> <3s>
Alice:	ali <n> <D_CA> <adj> <Djn_0> <n> <3p>
Alice:	ali <n> <D_CA> <adv>
Alice:	ali <n> <D_CA> <adv> <Dan_0> <n>
Alice:	ali <n> <D_CA> <adv> <Dan_0> <n> <3s>
Alice:	ali <n> <D_CA> <adv> <Dan_0> <n> <3p>
Alice:	ali <n> <D_CA> <n>
Alice:	ali <n> <D_CA> <n> <3s>
Alice:	ali <n> <D_CA> <n> <3p>
"ama	ama <n> <3s>
"ama	ama <n> <3p>
"ama	ama <cnjcoo>
"ama	ama <cnjadv>
müzik	müzik <n> <3s>
müzik	müzik <n> <3p>
öğrenirken	öğren <v> <t_aor> <3p> <cpl_ken>
zamanı	zaman <n> <p3s> <3s>
zamanı	zaman <n> <p3s> <3p>
zamanı	zaman <n> <acc>
zamanı	zaman <n> <acc> <3s>
zamanı	zaman <n> <acc> <3p>
yenmem	yen <v> <D_mA> <n> <p1s> <3s>
yenmem	yen <v> <D_mA> <n> <p1s> <3p>
yenmem	yen <v> <neg> <t_aor> <1s>
yenmem	yen <v> <vn_ma> <p1s>
yenmem	yen <v> <vn_ma> <p1s> <3s>
yenmem	yen <v> <vn_ma> <p1s> <3p>
yenmem	ye <v> <pass> <neg> <t_aor> <1s>
yenmem	ye <v> <pass> <vn_ma> <p1s>
yenmem	ye <v> <pass> <vn_ma> <p1s> <3s>
yenmem	ye <v> <pass> <vn_ma> <p1s> <3p>
gerektiğini	gerek <v> <part_dik> <p2s> <acc> <3s>
gerektiğini	gerek <v> <part_dik> <p2s> <acc> <3p>
gerektiğini	gerek <v> <part_dik> <p3s> <acc>
gerektiğini	gerek <v> <part_dik> <p3s> <acc> <3s>
gerektiğini	gerek <v> <part_dik> <p3s> <acc> <3p>
gerektiğini	gerek <v> <cv_dik> <p3s> <acc>
biliyorum."	bil <v> <t_cont> <1s>
"Ah!	ah <n> <3s>
"Ah!	ah <n> <3p>
"Ah!	ah <ij>
</S> </S>+ESTag
<S> <S>+BSTag
İşte	<unk>
bu	bu <prn> <dem> <3s>
bu	bu <prn> <dem> <3p>
bu	bu <det>
kadar,"	<unk>
dedi	de <v> <t_past> <3p>
Şapkacı.	şapka <n> <D_CI> <adj> <Djn_0> <n>
Şapkacı.	şapka <n> <D_CI> <adj> <Djn_0> <n> <3s>
Şapkacı.	şapka <n> <D_CI> <adj> <Djn_0> <n> <3p>
Şapkacı.	şapka <n> <D_CI> <n>
Şapkacı.	şapka <n> <D_CI> <n> <3s>
Şapkacı.	şapka <n> <D_CI> <n> <3p>
</S> </S>+ESTag
<S> <S>+BSTag
"Dövülmeye	döv <v> <pass> <neg> <t_opt> <3p>
"Dövülmeye	döv <v> <pass> <vn_ma> <dat>
"Dövülmeye	döv <v> <pass> <vn_ma> <dat> <3s>
"Dövülmeye	döv <v> <pass> <vn_ma> <dat> <3p>
"Dövülmeye	döv <v> <pass> <vn_mak> <dat>
"Dövülmeye	döv <v> <pass> <vn_mak> <dat> <3s>
"Dövülmeye	döv <v> <pass> <vn_mak> <dat> <3p>
"Dövülmeye	döv <v> <pass> <vinf> <dat>
dayanamaz.	dayan <v> <abil> <neg> <t_aor> <3p>
dayanamaz.	daya <v> <pass> <abil> <neg> <t_aor> <3s>
dayanamaz.	daya <v> <pass> <abil> <neg> <t_aor> <3p>
</S> </S>+ESTag
<S> <S>+BSTag
Şimdi,	şimdi <adv> <Dan_0> <n>
Şimdi,	şimdi <adv> <Dan_0> <n> <3s>
Şimdi,	şimdi <adv> <Dan_0> <n> <3p>
eğer	eğer <n> <3s>
eğer	eğer <n> <3p>
eğer	eğer <cnjsub>
eğer	eğ <v> <t_aor> <3s>
eğer	eğ <v> <t_aor> <3p>
onunla	onun <n> <D_lA> <v> <t_imp> <3p>
onunla	onun <n> <ins>
onunla	onun <n> <ins> <3s>
onunla	onun <n> <ins> <3p>
onunla	on <n> <p2s> <ins>
onunla	on <n> <p2s> <ins> <3s>
onunla	on <n> <p2s> <ins> <3p>
onunla	on <num> <Dmn_0> <n> <p2s> <ins>
onunla	on <num> <Dmn_0> <n> <p2s> <ins> <3s>
onunla	on <num> <Dmn_0> <n> <p2s> <ins> <3p>
onunla	o <prn> <pers> <p2s> <ins>
onunla	o <prn> <pers> <p2s> <ins> <3s>
onunla	o <prn> <pers> <p2s> <ins> <3p>
iyi	iyi <adj> <Djn_0> <n>
iyi	iyi <adj> <Djn_0> <n> <3s>
iyi	iyi <adj> <Djn_0> <n> <3p>
iyi	iyi <adv>
iyi	iyi <adv> <Dan_0> <n>
iyi	iyi <adv> <Dan_0> <n> <3s>
iyi	iyi <adv> <Dan_0> <n> <3p>
geçinmeye	geçin <v> <D_mA> <n> <dat> <3s>
geçinmeye	geçin <v> <D_mA> <n> <dat> <3p>
geçinmeye	geçin <v> <neg> <t_opt> <3s>
geçinmeye	geçin <v> <neg> <t_opt> <3p>
geçinmeye	geçin <v> <vn_ma> <dat>
geçinmeye	geçin <v> <vn_ma> <dat> <3s>
geçinmeye	geçin <v> <vn_ma> <dat> <3p>
geçinmeye	geçin <v> <vn_mak> <dat>
geçinmeye	geçin <v> <vn_mak> <dat> <3s>
geçinmeye	geçin <v> <vn_mak> <dat> <3p>
geçinmeye	geçin <v> <vinf> <dat>
devam	devam <n> <3s>
devam	devam <n> <3p>
devam	deva <n> <p1s>
devam	deva <n> <p1s> <3s>
devam	deva <n> <p1s> <3p>
etseydin,	<unk>
saatle	saat <n> <D_lA> <v> <t_imp> <3p>
saatle	saat <n> <ins>
saatle	saat <n> <ins> <3s>
saatle	saat <n> <ins> <3p>
neredeyse	neredeyse <adv> <Dan_0> <n>
neredeyse	neredeyse <adv> <Dan_0> <n> <3s>
neredeyse	neredeyse <adv> <Dan_0> <n> <3p>
neredeyse	nere <prn> <qst> <loc> <cpl_sa> <3s>
neredeyse	nere <prn> <qst> <loc> <cpl_sa> <3p>
neredeyse	nere <prn> <qst> <loc> <3p> <cpl_sa>
istediğin	iste <v> <vn_dik> <p2s> <3s>
istediğin	iste <v> <vn_dik> <p2s> <3p>
istediğin	iste <v> <vn_dik> <gen>
istediğin	iste <v> <vn_dik> <gen> <3s>
istediğin	iste <v> <vn_dik> <gen> <3p>
istediğin	iste <v> <part_dik> <p2s>
istediğin	iste <v> <part_dik> <p2s> <3s>
istediğin	iste <v> <part_dik> <p2s> <3p>
istediğin	iste <v> <part_dik> <gen>
istediğin	iste <v> <part_dik> <gen> <3s>
istediğin	iste <v> <part_dik> <gen> <3p>
her	<unk>
şeyi	şey <n> <p3s> <3s>
şeyi	şey <n> <p3s> <3p>
şeyi	şey <n> <acc>
şeyi	şey <n> <acc> <3s>
şeyi	şey <n> <acc> <3p>
yapardı.	yap <v> <t_aor> <cpl_di> <3p>
yapardı.	yap <v> <t_aor> <3p> <cpl_di>
</S> </S>+ESTag
<S> <S>+BSTag
Örneğin,	örneğin <n> <3s>
Örneğin,	örneğin <n> <3p>
Örneğin,	örneğin <cnjadv>
Örneğin,	örnek <n> <p2s>
Örneğin,	örnek <n> <p2s> <3s>
Örneğin,	örnek <n> <p2s> <3p>
Örneğin,	örnek <n> <gen>
Örneğin,	örnek <n> <gen> <3s>
Örneğin,	örnek <n> <gen> <3p>
sabah	sabah <n> <3s>
sabah	sabah <n> <3p>
saat	saat <n> <3s>
saat	saat <n> <3p>
dokuz	dokuz <n> <3s>
dokuz	dokuz <n> <3p>
dokuz	dokuz <num>
dokuz	dokuz <num> <Dmn_0> <n>
dokuz	dokuz <num> <Dmn_0> <n> <3s>
dokuz	dokuz <num> <Dmn_0> <n> <3p>
dokuz	dok <n> <1p>
olduğunu,	ol <v> <vn_dik> <p2s> <acc> <3s>
olduğunu,	ol <v> <vn_dik> <p2s> <acc> <3p>
olduğunu,	ol <v> <vn_dik> <p3s> <acc>
olduğunu,	ol <v> <vn_dik> <p3s> <acc> <3s>
olduğunu,	ol <v> <vn_dik> <p3s> <acc> <3p>
olduğunu,	ol <v> <part_dik> <p2s> <acc>
olduğunu,	ol <v> <part_dik> <p2s> <acc> <3s>
olduğunu,	ol <v> <part_dik> <p2s> <acc> <3p>
olduğunu,	ol <v> <part_dik> <p3s> <acc>
olduğunu,	ol <v> <part_dik> <p3s> <acc> <3s>
olduğunu,	ol <v> <part_dik> <p3s> <acc> <3p>
olduğunu,	ol <v> <cv_dik> <p3s> <acc>
derslere	ders <n> <pl> <dat> <3s>
derslere	ders <n> <pl> <dat> <3p>
başlama	baş <n> <D_lA> <v> <D_mA> <n> <3s>
başlama	baş <n> <D_lA> <v> <D_mA> <n> <3p>
başlama	baş <n> <D_lA> <v> <neg> <t_imp> <2s>
başlama	baş <n> <D_lA> <v> <neg> <t_imp> <3p>
başlama	baş <n> <D_lA> <v> <vn_ma>
başlama	baş <n> <D_lA> <v> <vn_ma> <3s>
başlama	baş <n> <D_lA> <v> <vn_ma> <3p>
başlama	baş <n> <D_lA> <v> <cv_ma>
vakti	vakit <n> <p3s> <3s>
vakti	vakit <n> <p3s> <3p>
vakti	vakit <n> <acc>
vakti	vakit <n> <acc> <3s>
vakti	vakit <n> <acc> <3p>
olduğunu	ol <v> <vn_dik> <p2s> <acc> <3s>
olduğunu	ol <v> <vn_dik> <p2s> <acc> <3p>
olduğunu	ol <v> <vn_dik> <p3s> <acc>
olduğunu	ol <v> <vn_dik> <p3s> <acc> <3s>
olduğunu	ol <v> <vn_dik> <p3s> <acc> <3p>
olduğunu	ol <v> <part_dik> <p2s> <acc>
olduğunu	ol <v> <part_dik> <p2s> <acc> <3s>
olduğunu	ol <v> <part_dik> <p2s> <acc> <3p>
olduğunu	ol <v> <part_dik> <p3s> <acc>
olduğunu	ol <v> <part_dik> <p3s> <acc> <3s>
olduğunu	ol <v> <part_dik> <p3s> <acc> <3p>
olduğunu	ol <v> <cv_dik> <p3s> <acc>
varsayalım:	<unk>
Zaman'a	zaman <n> <dat> <3s>
Zaman'a	zaman <n> <dat> <3p>
sadece	sadece <adv> <Dan_0> <n>
sadece	sadece <adv> <Dan_0> <n> <3s>
sadece	sadece <adv> <Dan_0> <n> <3p>
sadece	sadece <n>
sadece	sadece <n> <3s>
sadece	sadece <n> <3p>
sadece	sade <n> <D_CA> <adj>
sadece	sade <n> <D_CA> <adj> <Djn_0> <n>
sadece	sade <n> <D_CA> <adj> <Djn_0> <n> <3s>
sadece	sade <n> <D_CA> <adj> <Djn_0> <n> <3p>
sadece	sade <n> <D_CA> <adv>
sadece	sade <n> <D_CA> <adv> <Dan_0> <n>
sadece	sade <n> <D_CA> <adv> <Dan_0> <n> <3s>
sadece	sade <n> <D_CA> <adv> <Dan_0> <n> <3p>
sadece	sade <n> <D_CA> <n>
sadece	sade <n> <D_CA> <n> <3s>
sadece	sade <n> <D_CA> <n> <3p>
bir	bir <adj> <Djn_0> <n>
bir	bir <adj> <Djn_0> <n> <3s>
bir	bir <adj> <Djn_0> <n> <3p>
bir	bir <num>
bir	bir <num> <Dmn_0> <n>
bir	bir <num> <Dmn_0> <n> <3s>
bir	bir <num> <Dmn_0> <n> <3p>
bir	bir <det>
ipucu	<unk>
fısıldamak	fısılda <v> <vn_mak> <3s>
fısıldamak	fısılda <v> <vn_mak> <3p>
fısıldamak	fısılda <v> <vinf>
fısıldamak	fısılda <v> <cv_mak>
zorunda	zor <adj> <Djn_0> <n> <p2s> <loc> <3s>
zorunda	zor <adj> <Djn_0> <n> <p2s> <loc> <3p>
zorunda	zor <adj> <Djn_0> <n> <p3s> <loc>
zorunda	zor <adj> <Djn_0> <n> <p3s> <loc> <3s>
zorunda	zor <adj> <Djn_0> <n> <p3s> <loc> <3p>
zorunda	zor <adv> <Dan_0> <n> <p2s> <loc>
zorunda	zor <adv> <Dan_0> <n> <p2s> <loc> <3s>
zorunda	zor <adv> <Dan_0> <n> <p2s> <loc> <3p>
zorunda	zor <adv> <Dan_0> <n> <p3s> <loc>
zorunda	zor <adv> <Dan_0> <n> <p3s> <loc> <3s>
zorunda	zor <adv> <Dan_0> <n> <p3s> <loc> <3p>
kalırdın	<unk>
ve	ve <cnjadv>
saat	saat <n> <3s>
saat	saat <n> <3p>
bir	bir <adj> <Djn_0> <n>
bir	bir <adj> <Djn_0> <n> <3s>
bir	bir <adj> <Djn_0> <n> <3p>
bir	bir <num>
bir	bir <num> <Dmn_0> <n>
bir	bir <num> <Dmn_0> <n> <3s>
bir	bir <num> <Dmn_0> <n> <3p>
bir	bir <det>
anda	ant <n> <dat> <3s>
anda	ant <n> <dat> <3p>
anda	an <n> <loc>
anda	an <n> <loc> <3s>
anda	an <n> <loc> <3p>
döner!	döner <adj> <Djn_0> <n>
döner!	döner <adj> <Djn_0> <n> <3s>
döner!	döner <adj> <Djn_0> <n> <3p>
döner!	döner <n>
döner!	döner <n> <3s>
döner!	döner <n> <3p>
döner!	dön <v> <t_aor> <3s>
döner!	dön <v> <t_aor> <3p>
</S> </S>+ESTag
<S> <S>+BSTag
"Bir	bir <adj> <Djn_0> <n>
"Bir	bir <adj> <Djn_0> <n> <3s>
"Bir	bir <adj> <Djn_0> <n> <3p>
"Bir	bir <num>
"Bir	bir <num> <Dmn_0> <n>
"Bir	bir <num> <Dmn_0> <n> <3s>
"Bir	bir <num> <Dmn_0> <n> <3p>
"Bir	bir <det>
buçuk,	buçuk <adj> <Djn_0> <n>
buçuk,	buçuk <adj> <Djn_0> <n> <3s>
buçuk,	buçuk <adj> <Djn_0> <n> <3p>
yemek	yemek <n> <3s>
yemek	yemek <n> <3p>
yemek	ye <v> <vn_mak>
yemek	ye <v> <vn_mak> <3s>
yemek	ye <v> <vn_mak> <3p>
yemek	ye <v> <vinf>
yemek	ye <v> <cv_mak>
vakti!"	vakit <n> <p3s> <3s>
vakti!"	vakit <n> <p3s> <3p>
vakti!"	vakit <n> <acc>
vakti!"	vakit <n> <acc> <3s>
vakti!"	vakit <n> <acc> <3p>
("Keşke	keşke <adv> <Dan_0> <n>
("Keşke	keşke <adv> <Dan_0> <n> <3s>
("Keşke	keşke <adv> <Dan_0> <n> <3p>
("Keşke	keşke <n>
("Keşke	keşke <n> <3s>
("Keşke	keşke <n> <3p>
("Keşke	keşke <cnjadv>
öyle	öyle <adj> <Djn_0> <n>
öyle	öyle <adj> <Djn_0> <n> <3s>
öyle	öyle <adj> <Djn_0> <n> <3p>
öyle	öyle <adv>
öyle	öyle <adv> <Dan_0> <n>
öyle	öyle <adv> <Dan_0> <n> <3s>
öyle	öyle <adv> <Dan_0> <n> <3p>
öyle	öyle <ij>
olsaydı,"	ol <v> <t_cond> <cpl_di> <3p>
olsaydı,"	ol <v> <t_cond> <3p> <cpl_di>
Mart	mart <n> <3s>
Mart	mart <n> <3p>
Tavşanı	tavşan <n> <p3s> <3s>
Tavşanı	tavşan <n> <p3s> <3p>
Tavşanı	tavşan <n> <acc>
Tavşanı	tavşan <n> <acc> <3s>
Tavşanı	tavşan <n> <acc> <3p>
kendi	kendi <n> <3s>
kendi	kendi <n> <3p>
kendi	kendi <prn>
kendi	kendi <prn> <3s>
kendi	kendi <prn> <3p>
kendine	kendi <n> <p2s> <dat> <3s>
kendine	kendi <n> <p2s> <dat> <3p>
kendine	kendi <prn> <p2s> <dat>
kendine	kendi <prn> <p2s> <dat> <3s>
kendine	kendi <prn> <p2s> <dat> <3p>
fısıldadı.)	fısılda <v> <t_past> <3p>
"Bu	bu <prn> <dem> <3s>
"Bu	bu <prn> <dem> <3p>
"Bu	bu <det>
kesinlikle	kesin <adj> <D_lIK> <n> <D_lA> <v> <t_imp> <3p>
kesinlikle	kesin <adj> <D_lIK> <n> <ins>
kesinlikle	kesin <adj> <D_lIK> <n> <ins> <3s>
kesinlikle	kesin <adj> <D_lIK> <n> <ins> <3p>
kesinlikle	kesin <adj> <Djn_0> <n> <D_lIK> <n> <D_lA> <v> <t_imp> <2s>
kesinlikle	kesin <adj> <Djn_0> <n> <D_lIK> <n> <D_lA> <v> <t_imp> <3p>
kesinlikle	kesin <adj> <Djn_0> <n> <D_lIK> <n> <ins>
kesinlikle	kesin <adj> <Djn_0> <n> <D_lIK> <n> <ins> <3s>
kesinlikle	kesin <adj> <Djn_0> <n> <D_lIK> <n> <ins> <3p>
harika	harika <adj> <Djn_0> <n>
harika	harika <adj> <Djn_0> <n> <3s>
harika	harika <adj> <Djn_0> <n> <3p>
olurdu,"	olur <n> <cpl_di> <3p>
olurdu,"	olur <n> <3p> <cpl_di>
olurdu,"	ol <v> <t_aor> <cpl_di> <3s>
olurdu,"	ol <v> <t_aor> <cpl_di> <3p>
olurdu,"	ol <v> <t_aor> <3p> <cpl_di>
dedi	de <v> <t_past> <3p>
Alice	ali <n> <D_CA> <adj> <Djn_0> <n>
Alice	ali <n> <D_CA> <adj> <Djn_0> <n> <3s>
Alice	ali <n> <D_CA> <adj> <Djn_0> <n> <3p>
Alice	ali <n> <D_CA> <adv>
Alice	ali <n> <D_CA> <adv> <Dan_0> <n>
Alice	ali <n> <D_CA> <adv> <Dan_0> <n> <3s>
Alice	ali <n> <D_CA> <adv> <Dan_0> <n> <3p>
Alice	ali <n> <D_CA> <n>
Alice	ali <n> <D_CA> <n> <3s>
Alice	ali <n> <D_CA> <n> <3p>
düşünceli	düşünce <n> <D_lI> <adj> <Djn_0> <n>
düşünceli	düşünce <n> <D_lI> <adj> <Djn_0> <n> <3s>
düşünceli	düşünce <n> <D_lI> <adj> <Djn_0> <n> <3p>
düşünceli	düşünce <n> <D_lI> <n>
düşünceli	düşünce <n> <D_lI> <n> <3s>
düşünceli	düşünce <n> <D_lI> <n> <3p>
düşünceli	düşün <n> <D_CA> <adj> <D_lI> <adj>
düşünceli	düşün <n> <D_CA> <adj> <Djn_0> <n> <D_lI> <adj>
düşünceli	düşün <n> <D_CA> <adv> <Dan_0> <n> <D_lI> <adj>
düşünceli	düşün <n> <D_CA> <n> <D_lI> <adj>
düşünceli	düşün <n> <D_CA> <n> <D_lI> <adj> <Djn_0> <n>
düşünceli	düşün <n> <D_CA> <n> <D_lI> <adj> <Djn_0> <n> <3s>
düşünceli	düşün <n> <D_CA> <n> <D_lI> <adj> <Djn_0> <n> <3p>
düşünceli	düşün <n> <D_CA> <n> <D_lI> <n>
düşünceli	düşün <n> <D_CA> <n> <D_lI> <n> <3s>
düşünceli	düşün <n> <D_CA> <n> <D_lI> <n> <3p>
bir	bir <adj> <Djn_0> <n>
bir	bir <adj> <Djn_0> <n> <3s>
bir	bir <adj> <Djn_0> <n> <3p>
bir	bir <num>
bir	bir <num> <Dmn_0> <n>
bir	bir <num> <Dmn_0> <n> <3s>
bir	bir <num> <Dmn_0> <n> <3p>
bir	bir <det>
şekilde:	şekil <n> <loc> <3s>
şekilde:	şekil <n> <loc> <3p>
"ama	ama <n> <3s>
"ama	ama <n> <3p>
"ama	ama <cnjcoo>
"ama	ama <cnjadv>
o	o <prn> <pers> <3s>
o	o <prn> <pers> <3p>
o	o <ij>
o	o <det>
zamanbuna	<unk>
aç	aç <n> <3s>
aç	aç <n> <3p>
aç	aç <v> <t_imp> <2s>
aç	aç <v> <t_imp> <3p>
olmam	ol <v> <D_mA> <n> <p1s> <3s>
olmam	ol <v> <D_mA> <n> <p1s> <3p>
olmam	ol <v> <neg> <t_aor> <1s>
olmam	ol <v> <vn_ma> <p1s>
olmam	ol <v> <vn_ma> <p1s> <3s>
olmam	ol <v> <vn_ma> <p1s> <3p>
gerekmezdi,	gerek <v> <neg> <t_aor> <cpl_di> <3p>
gerekmezdi,	gerek <v> <neg> <t_aor> <3p> <cpl_di>
biliyorsun."	bil <v> <t_cont> <2s>
"Belki	belki <adv> <Dan_0> <n>
"Belki	belki <adv> <Dan_0> <n> <3s>
"Belki	belki <adv> <Dan_0> <n> <3p>
"Belki	belki <cnjadv>
ilk	ilk <adj> <Djn_0> <n>
ilk	ilk <adj> <Djn_0> <n> <3s>
ilk	ilk <adj> <Djn_0> <n> <3p>
ilk	ilk <adv>
ilk	ilk <adv> <Dan_0> <n>
ilk	ilk <adv> <Dan_0> <n> <3s>
ilk	ilk <adv> <Dan_0> <n> <3p>
başta	baş <n> <loc> <3s>
başta	baş <n> <loc> <3p>
değil,"	değil <not> <3p>
değil,"	değ <v> <pass> <t_imp> <2s>
değil,"	değ <v> <pass> <t_imp> <3p>
dedi	de <v> <t_past> <3p>
Şapkacı:	şapka <n> <D_CI> <adj> <Djn_0> <n>
Şapkacı:	şapka <n> <D_CI> <adj> <Djn_0> <n> <3s>
Şapkacı:	şapka <n> <D_CI> <adj> <Djn_0> <n> <3p>
Şapkacı:	şapka <n> <D_CI> <n>
Şapkacı:	şapka <n> <D_CI> <n> <3s>
Şapkacı:	şapka <n> <D_CI> <n> <3p>
"ama	ama <n> <3s>
"ama	ama <n> <3p>
"ama	ama <cnjcoo>
"ama	ama <cnjadv>
istediğiniz	iste <v> <vn_dik> <p2p>
istediğiniz	iste <v> <vn_dik> <p2p> <3s>
istediğiniz	iste <v> <vn_dik> <p2p> <3p>
istediğiniz	iste <v> <vn_dik> <gen> <1p>
istediğiniz	iste <v> <part_dik> <p2s> <1p>
istediğiniz	iste <v> <part_dik> <p2p>
istediğiniz	iste <v> <part_dik> <p2p> <3s>
istediğiniz	iste <v> <part_dik> <p2p> <3p>
istediğiniz	iste <v> <part_dik> <gen> <1p>
kadar	<unk>
onu	on <n> <p3s> <3s>
onu	on <n> <p3s> <3p>
onu	on <n> <acc>
onu	on <n> <acc> <3s>
onu	on <n> <acc> <3p>
onu	on <num> <Dmn_0> <n> <p3s>
onu	on <num> <Dmn_0> <n> <p3s> <3s>
onu	on <num> <Dmn_0> <n> <p3s> <3p>
onu	on <num> <Dmn_0> <n> <acc>
onu	on <num> <Dmn_0> <n> <acc> <3s>
onu	on <num> <Dmn_0> <n> <acc> <3p>
onu	o <prn> <pers> <p3s>
onu	o <prn> <pers> <p3s> <3s>
onu	o <prn> <pers> <p3s> <3p>
onu	o <prn> <pers> <acc>
onu	o <prn> <pers> <acc> <3s>
onu	o <prn> <pers> <acc> <3p>
bir	bir <adj> <Djn_0> <n>
bir	bir <adj> <Djn_0> <n> <3s>
bir	bir <adj> <Djn_0> <n> <3p>
bir	bir <num>
bir	bir <num> <Dmn_0> <n>
bir	bir <num> <Dmn_0> <n> <3s>
bir	bir <num> <Dmn_0> <n> <3p>
bir	bir <det>
buçukta	buçuk <adj> <Djn_0> <n> <loc> <3s>
buçukta	buçuk <adj> <Djn_0> <n> <loc> <3p>
tutabilirsiniz."	<unk>
"Sen	sen <prn> <pers> <3s>
"Sen	sen <prn> <pers> <3p>
böyle	böyle <adj> <Djn_0> <n>
böyle	böyle <adj> <Djn_0> <n> <3s>
böyle	böyle <adj> <Djn_0> <n> <3p>
böyle	böyle <adv>
böyle	böyle <adv> <Dan_0> <n>
böyle	böyle <adv> <Dan_0> <n> <3s>
böyle	böyle <adv> <Dan_0> <n> <3p>
böyle	böyle <ij>
mi	<unk>
idare	idare <n> <3s>
idare	idare <n> <3p>
ediyorsun?"	<unk>
Alice	ali <n> <D_CA> <adj> <Djn_0> <n>
Alice	ali <n> <D_CA> <adj> <Djn_0> <n> <3s>
Alice	ali <n> <D_CA> <adj> <Djn_0> <n> <3p>
Alice	ali <n> <D_CA> <adv>
Alice	ali <n> <D_CA> <adv> <Dan_0> <n>
Alice	ali <n> <D_CA> <adv> <Dan_0> <n> <3s>
Alice	ali <n> <D_CA> <adv> <Dan_0> <n> <3p>
Alice	ali <n> <D_CA> <n>
Alice	ali <n> <D_CA> <n> <3s>
Alice	ali <n> <D_CA> <n> <3p>
sordu.	sor <v> <t_past> <3p>
</S> </S>+ESTag
<S> <S>+BSTag
Şapkacı	şapka <n> <D_CI> <adj> <Djn_0> <n>
Şapkacı	şapka <n> <D_CI> <adj> <Djn_0> <n> <3s>
Şapkacı	şapka <n> <D_CI> <adj> <Djn_0> <n> <3p>
Şapkacı	şapka <n> <D_CI> <n>
Şapkacı	şapka <n> <D_CI> <n> <3s>
Şapkacı	şapka <n> <D_CI> <n> <3p>
kederle	keder <n> <D_lA> <v> <t_imp> <3p>
kederle	keder <n> <ins>
kederle	keder <n> <ins> <3s>
kederle	keder <n> <ins> <3p>
başını	baş <n> <p2s> <acc> <3s>
başını	baş <n> <p2s> <acc> <3p>
