<S> <S>+BSTag
"Kuyrukları	kuyruk <n> <pl> <p3s> <3s>
"Kuyrukları	kuyruk <n> <pl> <p3s> <3p>
Sahte	sahte <adj> <Djn_0> <n> <3p>
Kaplumbağa	kaplumbağa <n> <3s>
Kaplumbağa	kaplumbağa <n> <3p>
esnedi	esne <v> <t_past> <3p>
ve	ve <cnjadv>
gözlerini	göz <n> <pl> <p2s> <acc> <3s>
gözlerini	göz <n> <pl> <p2s> <acc> <3p>
gözlerini	göz <n> <pl> <p3s> <acc>
gözlerini	göz <n> <pl> <p3s> <acc> <3s>
gözlerini	göz <n> <pl> <p3s> <acc> <3p>
gözlerini	göz <n> <p3p> <acc>
gözlerini	göz <n> <p3p> <acc> <3s>
gözlerini	göz <n> <p3p> <acc> <3p>
kapattı.	kapat <v> <t_past> <3p>
kapattı.	kapa <v> <caus> <t_past> <3s>
kapattı.	kapa <v> <caus> <t_past> <3p>
</S> </S>+ESTag
<S> <S>+BSTag
"Ona	ona <v> <t_imp> <3p>
"Ona	on <n> <dat>
"Ona	on <n> <dat> <3s>
"Ona	on <n> <dat> <3p>
"Ona	on <v> <t_opt> <3s>
"Ona	on <v> <t_opt> <3p>
"Ona	on <num> <Dmn_0> <n> <dat>
"Ona	on <num> <Dmn_0> <n> <dat> <3s>
"Ona	on <num> <Dmn_0> <n> <dat> <3p>
"Ona	o <prn> <pers> <dat>
"Ona	o <prn> <pers> <dat> <3s>
"Ona	o <prn> <pers> <dat> <3p>
bunun	bun <n> <p2s> <3s>
bunun	bun <n> <p2s> <3p>
bunun	bun <n> <gen>
bunun	bun <n> <gen> <3s>
bunun	bun <n> <gen> <3p>
bunun	bu <prn> <dem> <p2s>
bunun	bu <prn> <dem> <p2s> <3s>
bunun	bu <prn> <dem> <p2s> <3p>
bunun	bu <prn> <dem> <gen>
bunun	bu <prn> <dem> <gen> <3s>
bunun	bu <prn> <dem> <gen> <3p>
nedenini	neden <adv> <Dan_0> <n> <p2s> <acc> <3s>
nedenini	neden <adv> <Dan_0> <n> <p2s> <acc> <3p>
nedenini	neden <adv> <Dan_0> <n> <p3s> <acc>
nedenini	neden <adv> <Dan_0> <n> <p3s> <acc> <3s>
nedenini	neden <adv> <Dan_0> <n> <p3s> <acc> <3p>
nedenini	neden <n> <p2s> <acc>
nedenini	neden <n> <p2s> <acc> <3s>
nedenini	neden <n> <p2s> <acc> <3p>
nedenini	neden <n> <p3s> <acc>
nedenini	neden <n> <p3s> <acc> <3s>
nedenini	neden <n> <p3s> <acc> <3p>
falan	falan <n> <3s>
falan	falan <n> <3p>
falan	fa <n> <D_lAn> <v> <t_imp> <2s>
falan	fa <n> <D_lAn> <v> <t_imp> <3p>
falan	falan <n> <3s>
falan	falan <n> <3p>
falan	fa <n> <D_lAn> <v> <t_imp> <2s>
falan	fa <n> <D_lAn> <v> <t_imp> <3p>
anlat,"	anlat <v> <t_imp> <3p>
anlat,"	anla <v> <caus> <t_imp> <2s>
anlat,"	anla <v> <caus> <t_imp> <3p>
dedi	de <v> <t_past> <3p>
Gryphon'a.	<unk>
</S> </S>+ESTag
<S> <S>+BSTag
"Nedeni	neden <adv> <Dan_0> <n> <p3s> <3s>
"Nedeni	neden <adv> <Dan_0> <n> <p3s> <3p>
"Nedeni	neden <adv> <Dan_0> <n> <acc>
"Nedeni	neden <adv> <Dan_0> <n> <acc> <3s>
"Nedeni	neden <adv> <Dan_0> <n> <acc> <3p>
"Nedeni	neden <n> <p3s>
"Nedeni	neden <n> <p3s> <3s>
"Nedeni	neden <n> <p3s> <3p>
"Nedeni	neden <n> <acc>
"Nedeni	neden <n> <acc> <3s>
"Nedeni	neden <n> <acc> <3p>
şu,"	şu <prn> <dem> <3s>
şu,"	şu <prn> <dem> <3p>
şu,"	şu <det>
dedi	de <v> <t_past> <3p>
Gryphon,	<unk>
"Istakozlarla	<unk>
dansa	dans <n> <dat> <3s>
dansa	dans <n> <dat> <3p>
gideceklerini.	git <v> <vn_acak> <pl> <p2s> <acc> <3s>
gideceklerini.	git <v> <vn_acak> <pl> <p2s> <acc> <3p>
gideceklerini.	git <v> <vn_acak> <pl> <p3s> <acc>
gideceklerini.	git <v> <vn_acak> <pl> <p3s> <acc> <3s>
gideceklerini.	git <v> <vn_acak> <pl> <p3s> <acc> <3p>
gideceklerini.	git <v> <vn_acak> <p3p> <acc>
gideceklerini.	git <v> <vn_acak> <p3p> <acc> <3s>
gideceklerini.	git <v> <vn_acak> <p3p> <acc> <3p>
gideceklerini.	git <v> <part_acak> <pl> <p2s> <acc>
gideceklerini.	git <v> <part_acak> <pl> <p2s> <acc> <3s>
gideceklerini.	git <v> <part_acak> <pl> <p2s> <acc> <3p>
gideceklerini.	git <v> <part_acak> <pl> <p3s> <acc>
gideceklerini.	git <v> <part_acak> <pl> <p3s> <acc> <3s>
gideceklerini.	git <v> <part_acak> <pl> <p3s> <acc> <3p>
gideceklerini.	git <v> <part_acak> <p3p> <acc>
gideceklerini.	git <v> <part_acak> <p3p> <acc> <3s>
gideceklerini.	git <v> <part_acak> <p3p> <acc> <3p>
</S> </S>+ESTag
<S> <S>+BSTag
Bu	bu <prn> <dem> <3s>
Bu	bu <prn> <dem> <3p>
Bu	bu <det>
yüzden	yüzde <n> <p2s> <3s>
yüzden	yüzde <n> <p2s> <3p>
yüzden	yüz <n> <abl>
yüzden	yüz <n> <abl> <3s>
yüzden	yüz <n> <abl> <3p>
yüzden	yüz <v> <cv_dan>
yüzden	yüz <num> <Dmn_0> <n> <abl>
yüzden	yüz <num> <Dmn_0> <n> <abl> <3s>
yüzden	yüz <num> <Dmn_0> <n> <abl> <3p>
denize	deniz <n> <dat> <3s>
denize	deniz <n> <dat> <3p>
atıldılar.	atıl <v> <t_past> <3p>
atıldılar.	at <v> <pass> <t_past> <3p>
</S> </S>+ESTag
<S> <S>+BSTag
Bu	bu <prn> <dem> <3s>
Bu	bu <prn> <dem> <3p>
Bu	bu <det>
yüzden	yüzde <n> <p2s> <3s>
yüzden	yüzde <n> <p2s> <3p>
yüzden	yüz <n> <abl>
yüzden	yüz <n> <abl> <3s>
yüzden	yüz <n> <abl> <3p>
yüzden	yüz <v> <cv_dan>
yüzden	yüz <num> <Dmn_0> <n> <abl>
yüzden	yüz <num> <Dmn_0> <n> <abl> <3s>
yüzden	yüz <num> <Dmn_0> <n> <abl> <3p>
uzun	uzun <adj> <Djn_0> <n>
uzun	uzun <adj> <Djn_0> <n> <3s>
uzun	uzun <adj> <Djn_0> <n> <3p>
uzun	uz <n> <p2s>
uzun	uz <n> <p2s> <3s>
uzun	uz <n> <p2s> <3p>
uzun	uz <n> <gen>
uzun	uz <n> <gen> <3s>
uzun	uz <n> <gen> <3p>
bir	bir <adj> <Djn_0> <n>
bir	bir <adj> <Djn_0> <n> <3s>
bir	bir <adj> <Djn_0> <n> <3p>
bir	bir <num>
bir	bir <num> <Dmn_0> <n>
bir	bir <num> <Dmn_0> <n> <3s>
bir	bir <num> <Dmn_0> <n> <3p>
bir	bir <det>
yol	yol <n> <3s>
yol	yol <n> <3p>
yol	yol <v> <t_imp> <2s>
yol	yol <v> <t_imp> <3p>
düşmek	düş <v> <vn_mak> <3s>
düşmek	düş <v> <vn_mak> <3p>
düşmek	düş <v> <vinf>
düşmek	düş <v> <cv_mak>
zorunda	zor <adj> <Djn_0> <n> <p2s> <loc> <3s>
zorunda	zor <adj> <Djn_0> <n> <p2s> <loc> <3p>
zorunda	zor <adj> <Djn_0> <n> <p3s> <loc>
zorunda	zor <adj> <Djn_0> <n> <p3s> <loc> <3s>
zorunda	zor <adj> <Djn_0> <n> <p3s> <loc> <3p>
zorunda	zor <adv> <Dan_0> <n> <p2s> <loc>
zorunda	zor <adv> <Dan_0> <n> <p2s> <loc> <3s>
zorunda	zor <adv> <Dan_0> <n> <p2s> <loc> <3p>
zorunda	zor <adv> <Dan_0> <n> <p3s> <loc>
zorunda	zor <adv> <Dan_0> <n> <p3s> <loc> <3s>
zorunda	zor <adv> <Dan_0> <n> <p3s> <loc> <3p>
kaldılar.	kal <v> <t_past> <3p>
</S> </S>+ESTag
<S> <S>+BSTag
Bu	bu <prn> <dem> <3s>
Bu	bu <prn> <dem> <3p>
Bu	bu <det>
yüzden	yüzde <n> <p2s> <3s>
yüzden	yüzde <n> <p2s> <3p>
yüzden	yüz <n> <abl>
yüzden	yüz <n> <abl> <3s>
yüzden	yüz <n> <abl> <3p>
yüzden	yüz <v> <cv_dan>
yüzden	yüz <num> <Dmn_0> <n> <abl>
yüzden	yüz <num> <Dmn_0> <n> <abl> <3s>
yüzden	yüz <num> <Dmn_0> <n> <abl> <3p>
kuyrukları	kuyruk <n> <pl> <p3s> <3s>
kuyrukları	kuyruk <n> <pl> <p3s> <3p>
kuyrukları	kuyruk <n> <pl> <acc>
kuyrukları	kuyruk <n> <pl> <acc> <3s>
kuyrukları	kuyruk <n> <pl> <acc> <3p>
kuyrukları	kuyruk <n> <p3p>
kuyrukları	kuyruk <n> <p3p> <3s>
kuyrukları	kuyruk <n> <p3p> <3p>
ağızlarına	ağız <n> <pl> <p2s> <dat> <3s>
ağızlarına	ağız <n> <pl> <p2s> <dat> <3p>
ağızlarına	ağız <n> <pl> <p3s> <dat>
ağızlarına	ağız <n> <pl> <p3s> <dat> <3s>
ağızlarına	ağız <n> <pl> <p3s> <dat> <3p>
ağızlarına	ağız <n> <p3p> <dat>
ağızlarına	ağız <n> <p3p> <dat> <3s>
ağızlarına	ağız <n> <p3p> <dat> <3p>
sıkıştı.	sık <v> <D_yIS> <n> <cpl_di> <3p>
sıkıştı.	sık <v> <D_yIS> <n> <3p> <cpl_di>
sıkıştı.	sık <v> <rec> <t_past> <3s>
sıkıştı.	sık <v> <rec> <t_past> <3p>
sıkıştı.	sık <v> <vn_yis> <cpl_di> <3s>
sıkıştı.	sık <v> <vn_yis> <cpl_di> <3p>
sıkıştı.	sık <v> <vn_yis> <3p> <cpl_di>
</S> </S>+ESTag
<S> <S>+BSTag
Bu	bu <prn> <dem> <3s>
Bu	bu <prn> <dem> <3p>
Bu	bu <det>
yüzden	yüzde <n> <p2s> <3s>
yüzden	yüzde <n> <p2s> <3p>
yüzden	yüz <n> <abl>
yüzden	yüz <n> <abl> <3s>
yüzden	yüz <n> <abl> <3p>
yüzden	yüz <v> <cv_dan>
yüzden	yüz <num> <Dmn_0> <n> <abl>
yüzden	yüz <num> <Dmn_0> <n> <abl> <3s>
yüzden	yüz <num> <Dmn_0> <n> <abl> <3p>
onları	onlar <prn> <pers> <p3s> <3s>
onları	onlar <prn> <pers> <p3s> <3p>
onları	onlar <prn> <pers> <acc>
onları	onlar <prn> <pers> <acc> <3s>
onları	onlar <prn> <pers> <acc> <3p>
onları	on <n> <pl> <p3s>
onları	on <n> <pl> <p3s> <3s>
onları	on <n> <pl> <p3s> <3p>
onları	on <n> <pl> <acc>
onları	on <n> <pl> <acc> <3s>
onları	on <n> <pl> <acc> <3p>
onları	on <n> <p3p>
onları	on <n> <p3p> <3s>
onları	on <n> <p3p> <3p>
onları	on <num> <Dmn_0> <n> <pl> <p3s>
onları	on <num> <Dmn_0> <n> <pl> <p3s> <3s>
onları	on <num> <Dmn_0> <n> <pl> <p3s> <3p>
onları	on <num> <Dmn_0> <n> <pl> <acc>
onları	on <num> <Dmn_0> <n> <pl> <acc> <3s>
onları	on <num> <Dmn_0> <n> <pl> <acc> <3p>
onları	on <num> <Dmn_0> <n> <p3p>
onları	on <num> <Dmn_0> <n> <p3p> <3s>
onları	on <num> <Dmn_0> <n> <p3p> <3p>
onları	o <prn> <pers> <pl> <p3s>
onları	o <prn> <pers> <pl> <p3s> <3s>
onları	o <prn> <pers> <pl> <p3s> <3p>
onları	o <prn> <pers> <pl> <acc>
onları	o <prn> <pers> <pl> <acc> <3s>
onları	o <prn> <pers> <pl> <acc> <3p>
onları	o <prn> <pers> <p3p>
onları	o <prn> <pers> <p3p> <3s>
onları	o <prn> <pers> <p3p> <3p>
bir	bir <adj> <Djn_0> <n>
bir	bir <adj> <Djn_0> <n> <3s>
bir	bir <adj> <Djn_0> <n> <3p>
bir	bir <num>
bir	bir <num> <Dmn_0> <n>
bir	bir <num> <Dmn_0> <n> <3s>
bir	bir <num> <Dmn_0> <n> <3p>
bir	bir <det>
daha	daha <adv> <Dan_0> <n>
daha	daha <adv> <Dan_0> <n> <3s>
daha	daha <adv> <Dan_0> <n> <3p>
daha	daha <n>
daha	daha <n> <3s>
daha	daha <n> <3p>
çıkaramadılar.	<unk>
</S> </S>+ESTag
<S> <S>+BSTag
Hepsi	hepsi <prn> <3s>
Hepsi	hepsi <prn> <3p>
bu.	bu <prn> <dem> <3s>
bu.	bu <prn> <dem> <3p>
bu.	bu <det>
</S> </S>+ESTag
<S> <S>+BSTag
"Teşekkür	teşekkür <n> <3s>
"Teşekkür	teşekkür <n> <3p>
ederim,"	eder <n> <p1s>
ederim,"	eder <n> <p1s> <3s>
ederim,"	eder <n> <p1s> <3p>
ederim,"	et <v> <t_aor> <1s>
dedi	de <v> <t_past> <3p>
Alice,	ali <n> <D_CA> <adj> <Djn_0> <n>
Alice,	ali <n> <D_CA> <adj> <Djn_0> <n> <3s>
Alice,	ali <n> <D_CA> <adj> <Djn_0> <n> <3p>
Alice,	ali <n> <D_CA> <adv>
Alice,	ali <n> <D_CA> <adv> <Dan_0> <n>
Alice,	ali <n> <D_CA> <adv> <Dan_0> <n> <3s>
Alice,	ali <n> <D_CA> <adv> <Dan_0> <n> <3p>
Alice,	ali <n> <D_CA> <n>
Alice,	ali <n> <D_CA> <n> <3s>
Alice,	ali <n> <D_CA> <n> <3p>
"çok	çok <adj> <Djn_0> <n>
"çok	çok <adj> <Djn_0> <n> <3s>
"çok	çok <adj> <Djn_0> <n> <3p>
"çok	çok <adv>
"çok	çok <adv> <Dan_0> <n>
"çok	çok <adv> <Dan_0> <n> <3s>
"çok	çok <adv> <Dan_0> <n> <3p>
"çok	çok <det>
ilginç.	ilginç <n> <3s>
ilginç.	ilginç <n> <3p>
</S> </S>+ESTag
<S> <S>+BSTag
Daha	daha <adv> <Dan_0> <n>
Daha	daha <adv> <Dan_0> <n> <3s>
Daha	daha <adv> <Dan_0> <n> <3p>
Daha	daha <n>
Daha	daha <n> <3s>
Daha	daha <n> <3p>
önce	önce <adv> <Dan_0> <n>
önce	önce <adv> <Dan_0> <n> <3s>
önce	önce <adv> <Dan_0> <n> <3p>
önce	önce <postp>
önce	ön <n> <D_CA> <adj>
önce	ön <n> <D_CA> <adj> <Djn_0> <n>
önce	ön <n> <D_CA> <adj> <Djn_0> <n> <3s>
önce	ön <n> <D_CA> <adj> <Djn_0> <n> <3p>
önce	ön <n> <D_CA> <adv>
önce	ön <n> <D_CA> <adv> <Dan_0> <n>
önce	ön <n> <D_CA> <adv> <Dan_0> <n> <3s>
önce	ön <n> <D_CA> <adv> <Dan_0> <n> <3p>
önce	ön <n> <D_CA> <n>
önce	ön <n> <D_CA> <n> <3s>
önce	ön <n> <D_CA> <n> <3p>
önce	ön <n> <ca>
bir	bir <adj> <Djn_0> <n>
bir	bir <adj> <Djn_0> <n> <3s>
bir	bir <adj> <Djn_0> <n> <3p>
bir	bir <num>
bir	bir <num> <Dmn_0> <n>
bir	bir <num> <Dmn_0> <n> <3s>
bir	bir <num> <Dmn_0> <n> <3p>
bir	bir <det>
mezgit	mezgit <n> <3s>
mezgit	mezgit <n> <3p>
hakkında	hak <n> <p2s> <loc> <3s>
hakkında	hak <n> <p2s> <loc> <3p>
hakkında	hak <n> <p3s> <loc>
hakkında	hak <n> <p3s> <loc> <3s>
hakkında	hak <n> <p3s> <loc> <3p>
hiç	hiç <adv> <Dan_0> <n>
hiç	hiç <adv> <Dan_0> <n> <3s>
hiç	hiç <adv> <Dan_0> <n> <3p>
hiç	hiç <n>
hiç	hiç <n> <3s>
hiç	hiç <n> <3p>
bu	bu <prn> <dem> <3s>
bu	bu <prn> <dem> <3p>
bu	bu <det>
kadar	<unk>
çok	çok <adj> <Djn_0> <n>
çok	çok <adj> <Djn_0> <n> <3s>
çok	çok <adj> <Djn_0> <n> <3p>
çok	çok <adv>
çok	çok <adv> <Dan_0> <n>
çok	çok <adv> <Dan_0> <n> <3s>
çok	çok <adv> <Dan_0> <n> <3p>
çok	çok <det>
şey	şey <n> <3s>
şey	şey <n> <3p>
bilmiyordum."	<unk>
"Eğer	eğer <n> <3s>
"Eğer	eğer <n> <3p>
"Eğer	eğer <cnjsub>
"Eğer	eğ <v> <t_aor> <3s>
"Eğer	eğ <v> <t_aor> <3p>
istersen	iste <v> <t_aor> <cpl_sa> <2s>
sana	san <n> <dat> <3s>
sana	san <n> <dat> <3p>
sana	san <v> <t_opt> <3s>
sana	san <v> <t_opt> <3p>
sana	sen <prn> <pers> <dat>
sana	sen <prn> <pers> <dat> <3s>
sana	sen <prn> <pers> <dat> <3p>
bundan	bun <n> <abl> <3s>
bundan	bun <n> <abl> <3p>
bundan	bu <prn> <dem> <abl>
bundan	bu <prn> <dem> <abl> <3s>
bundan	bu <prn> <dem> <abl> <3p>
daha	daha <adv> <Dan_0> <n>
daha	daha <adv> <Dan_0> <n> <3s>
daha	daha <adv> <Dan_0> <n> <3p>
daha	daha <n>
daha	daha <n> <3s>
daha	daha <n> <3p>
fazlasını	fazla <adj> <Djn_0> <n> <p3s> <acc> <3s>
fazlasını	fazla <adj> <Djn_0> <n> <p3s> <acc> <3p>
fazlasını	fazla <adv> <Dan_0> <n> <p3s> <acc>
fazlasını	fazla <adv> <Dan_0> <n> <p3s> <acc> <3s>
fazlasını	fazla <adv> <Dan_0> <n> <p3s> <acc> <3p>
anlatabilirim,"	anla <v> <caus> <abil> <t_aor> <1s>
dedi	de <v> <t_past> <3p>
Gryphon.	<unk>
</S> </S>+ESTag
<S> <S>+BSTag
"Ona	ona <v> <t_imp> <3p>
"Ona	on <n> <dat>
"Ona	on <n> <dat> <3s>
"Ona	on <n> <dat> <3p>
"Ona	on <v> <t_opt> <3s>
"Ona	on <v> <t_opt> <3p>
"Ona	on <num> <Dmn_0> <n> <dat>
"Ona	on <num> <Dmn_0> <n> <dat> <3s>
"Ona	on <num> <Dmn_0> <n> <dat> <3p>
"Ona	o <prn> <pers> <dat>
"Ona	o <prn> <pers> <dat> <3s>
"Ona	o <prn> <pers> <dat> <3p>
neden	neden <adv> <Dan_0> <n>
neden	neden <adv> <Dan_0> <n> <3s>
neden	neden <adv> <Dan_0> <n> <3p>
neden	neden <n>
neden	neden <n> <3s>
neden	neden <n> <3p>
neden	ne <prn> <qst> <abl>
neden	ne <prn> <qst> <abl> <3s>
neden	ne <prn> <qst> <abl> <3p>
mezgit	mezgit <n> <3s>
mezgit	mezgit <n> <3p>
dendiğini	de <v> <pass> <vn_dik> <p2s> <acc> <3s>
dendiğini	de <v> <pass> <vn_dik> <p2s> <acc> <3p>
dendiğini	de <v> <pass> <vn_dik> <p3s> <acc>
dendiğini	de <v> <pass> <vn_dik> <p3s> <acc> <3s>
dendiğini	de <v> <pass> <vn_dik> <p3s> <acc> <3p>
dendiğini	de <v> <pass> <part_dik> <p2s> <acc>
dendiğini	de <v> <pass> <part_dik> <p2s> <acc> <3s>
dendiğini	de <v> <pass> <part_dik> <p2s> <acc> <3p>
dendiğini	de <v> <pass> <part_dik> <p3s> <acc>
dendiğini	de <v> <pass> <part_dik> <p3s> <acc> <3s>
dendiğini	de <v> <pass> <part_dik> <p3s> <acc> <3p>
dendiğini	de <v> <pass> <cv_dik> <p3s> <acc>
biliyor	bila <v> <t_cont> <3p>
biliyor	bila <v> <cv_iyor>
biliyor	bil <v> <t_cont> <3s>
biliyor	bil <v> <t_cont> <3p>
biliyor	bil <v> <cv_iyor>
musun?"	<unk>
"Bunu	bun <n> <p3s> <3s>
"Bunu	bun <n> <p3s> <3p>
"Bunu	bun <n> <acc>
"Bunu	bun <n> <acc> <3s>
"Bunu	bun <n> <acc> <3p>
"Bunu	bu <prn> <dem> <p3s>
"Bunu	bu <prn> <dem> <p3s> <3s>
"Bunu	bu <prn> <dem> <p3s> <3p>
"Bunu	bu <prn> <dem> <acc>
"Bunu	bu <prn> <dem> <acc> <3s>
"Bunu	bu <prn> <dem> <acc> <3p>
hiç	hiç <adv> <Dan_0> <n>
hiç	hiç <adv> <Dan_0> <n> <3s>
hiç	hiç <adv> <Dan_0> <n> <3p>
hiç	hiç <n>
hiç	hiç <n> <3s>
hiç	hiç <n> <3p>
düşünmemiştim,"	<unk>
dedi	de <v> <t_past> <3p>
Alice.	ali <n> <D_CA> <adj> <Djn_0> <n>
Alice.	ali <n> <D_CA> <adj> <Djn_0> <n> <3s>
Alice.	ali <n> <D_CA> <adj> <Djn_0> <n> <3p>
Alice.	ali <n> <D_CA> <adv>
Alice.	ali <n> <D_CA> <adv> <Dan_0> <n>
Alice.	ali <n> <D_CA> <adv> <Dan_0> <n> <3s>
Alice.	ali <n> <D_CA> <adv> <Dan_0> <n> <3p>
Alice.	ali <n> <D_CA> <n>
Alice.	ali <n> <D_CA> <n> <3s>
Alice.	ali <n> <D_CA> <n> <3p>
</S> </S>+ESTag
<S> <S>+BSTag
"Neden?"	neden <adv> <Dan_0> <n>
"Neden?"	neden <adv> <Dan_0> <n> <3s>
"Neden?"	neden <adv> <Dan_0> <n> <3p>
"Neden?"	neden <n>
"Neden?"	neden <n> <3s>
"Neden?"	neden <n> <3p>
"Neden?"	ne <prn> <qst> <abl>
"Neden?"	ne <prn> <qst> <abl> <3s>
"Neden?"	ne <prn> <qst> <abl> <3p>
"Çizmeleri	çizme <n> <pl> <p3s> <3s>
"Çizmeleri	çizme <n> <pl> <p3s> <3p>
"Çizmeleri	çizme <n> <pl> <acc>
"Çizmeleri	çizme <n> <pl> <acc> <3s>
"Çizmeleri	çizme <n> <pl> <acc> <3p>
"Çizmeleri	çizme <n> <p3p>
"Çizmeleri	çizme <n> <p3p> <3s>
"Çizmeleri	çizme <n> <p3p> <3p>
"Çizmeleri	çiz <v> <D_mA> <n> <pl> <p3s>
"Çizmeleri	çiz <v> <D_mA> <n> <pl> <p3s> <3s>
