<S> <S>+BSTag
"Hangi	hangi <n> <3s>
"Hangi	hangi <n> <3p>
hızlı	hız <n> <D_lI> <adj> <Djn_0> <n> <3p>
hızlı	hız <n> <D_lI> <n>
hızlı	hız <n> <D_lI> <n> <3s>
hızlı	hız <n> <D_lI> <n> <3p>
koştu,	koş <v> <t_past> <3p>
onları	onlar <prn> <pers> <p3s> <3s>
onları	onlar <prn> <pers> <p3s> <3p>
onları	onlar <prn> <pers> <acc>
onları	onlar <prn> <pers> <acc> <3s>
onları	onlar <prn> <pers> <acc> <3p>
onları	on <n> <pl> <p3s>
onları	on <n> <pl> <p3s> <3s>
onları	on <n> <pl> <p3s> <3p>
onları	on <n> <pl> <acc>
onları	on <n> <pl> <acc> <3s>
onları	on <n> <pl> <acc> <3p>
onları	on <n> <p3p>
onları	on <n> <p3p> <3s>
onları	on <n> <p3p> <3p>
onları	on <num> <Dmn_0> <n> <pl> <p3s>
onları	on <num> <Dmn_0> <n> <pl> <p3s> <3s>
onları	on <num> <Dmn_0> <n> <pl> <p3s> <3p>
onları	on <num> <Dmn_0> <n> <pl> <acc>
onları	on <num> <Dmn_0> <n> <pl> <acc> <3s>
onları	on <num> <Dmn_0> <n> <pl> <acc> <3p>
onları	on <num> <Dmn_0> <n> <p3p>
onları	on <num> <Dmn_0> <n> <p3p> <3s>
onları	on <num> <Dmn_0> <n> <p3p> <3p>
onları	o <prn> <pers> <pl> <p3s>
onları	o <prn> <pers> <pl> <p3s> <3s>
onları	o <prn> <pers> <pl> <p3s> <3p>
onları	o <prn> <pers> <pl> <acc>
onları	o <prn> <pers> <pl> <acc> <3s>
onları	o <prn> <pers> <pl> <acc> <3p>
onları	o <prn> <pers> <p3p>
onları	o <prn> <pers> <p3p> <3s>
onları	o <prn> <pers> <p3p> <3p>
takip	takip <n> <3s>
takip	takip <n> <3p>
eden	ede <n> <p2s> <3s>
eden	ede <n> <p2s> <3p>
eden	et <v> <part_yan>
eden	et <v> <part_yan> <3s>
eden	et <v> <part_yan> <3p>
esintiyi	esinti <n> <acc> <3s>
esintiyi	esinti <n> <acc> <3p>
taşıyarak	<unk>
gittikçe	<unk>
daha	daha <adv> <Dan_0> <n>
daha	daha <adv> <Dan_0> <n> <3s>
daha	daha <adv> <Dan_0> <n> <3p>
daha	daha <n>
daha	daha <n> <3s>
daha	daha <n> <3p>
da	<unk>
zayıf	zayıf <adj> <Djn_0> <n>
zayıf	zayıf <adj> <Djn_0> <n> <3s>
zayıf	zayıf <adj> <Djn_0> <n> <3p>
bir	bir <adj> <Djn_0> <n>
bir	bir <adj> <Djn_0> <n> <3s>
bir	bir <adj> <Djn_0> <n> <3p>
bir	bir <num>
bir	bir <num> <Dmn_0> <n>
bir	bir <num> <Dmn_0> <n> <3s>
bir	bir <num> <Dmn_0> <n> <3p>
bir	bir <det>
şekilde	şekil <n> <loc> <3s>
şekilde	şekil <n> <loc> <3p>
gelirken,	gelir <n> <3p> <cpl_ken>
gelirken,	gel <v> <t_aor> <3s> <cpl_ken>
gelirken,	gel <v> <t_aor> <3p> <cpl_ken>
hüzünlü	hüzün <n> <D_lI> <adj> <Djn_0> <n>
hüzünlü	hüzün <n> <D_lI> <adj> <Djn_0> <n> <3s>
hüzünlü	hüzün <n> <D_lI> <adj> <Djn_0> <n> <3p>
hüzünlü	hüzün <n> <D_lI> <n>
hüzünlü	hüzün <n> <D_lI> <n> <3s>
hüzünlü	hüzün <n> <D_lI> <n> <3p>
sözler:	söz <n> <D_lA> <v> <t_aor> <3p>
sözler:	söz <n> <3p>
sözler:	söz <n> <pl>
sözler:	söz <n> <pl> <3s>
sözler:	söz <n> <pl> <3p>
"Akşamın	akşam <n> <p2s> <3s>
"Akşamın	akşam <n> <p2s> <3p>
"Akşamın	akşam <n> <gen>
"Akşamın	akşam <n> <gen> <3s>
"Akşamın	akşam <n> <gen> <3p>
çooorbası,	<unk>
"Güzel,	güzel <adj> <Djn_0> <n>
"Güzel,	güzel <adj> <Djn_0> <n> <3s>
"Güzel,	güzel <adj> <Djn_0> <n> <3p>
güzel	güzel <adj> <Djn_0> <n>
güzel	güzel <adj> <Djn_0> <n> <3s>
güzel	güzel <adj> <Djn_0> <n> <3p>
Çorba!"	çorba <n> <3s>
Çorba!"	çorba <n> <3p>
BÖLÜM	bölüm <n> <3s>
BÖLÜM	bölüm <n> <3p>
BÖLÜM	bölü <n> <p1s>
BÖLÜM	bölü <n> <p1s> <3s>
BÖLÜM	bölü <n> <p1s> <3p>
XI.	<unk>
</S> </S>+ESTag
<S> <S>+BSTag
Tartları	tart <n> <pl> <p3s> <3s>
Tartları	tart <n> <pl> <p3s> <3p>
Tartları	tart <n> <pl> <acc>
Tartları	tart <n> <pl> <acc> <3s>
Tartları	tart <n> <pl> <acc> <3p>
Tartları	tart <n> <p3p>
Tartları	tart <n> <p3p> <3s>
Tartları	tart <n> <p3p> <3p>
Kim	kim <prn> <qst> <3s>
Kim	kim <prn> <qst> <3p>
Çaldı?	çal <n> <cpl_di> <3p>
Çaldı?	çal <n> <3p> <cpl_di>
Çaldı?	çal <v> <t_past> <3s>
Çaldı?	çal <v> <t_past> <3p>
</S> </S>+ESTag
<S> <S>+BSTag
Kupa	kupa <n> <3s>
Kupa	kupa <n> <3p>
Kralı	kral <n> <p3s> <3s>
Kralı	kral <n> <p3s> <3p>
Kralı	kral <n> <acc>
Kralı	kral <n> <acc> <3s>
Kralı	kral <n> <acc> <3p>
ve	ve <cnjadv>
Kraliçesi,	kraliçe <n> <p3s> <3s>
Kraliçesi,	kraliçe <n> <p3s> <3p>
geldiklerinde	gel <v> <vn_dik> <p3p> <loc> <3s>
geldiklerinde	gel <v> <vn_dik> <p3p> <loc> <3p>
geldiklerinde	gel <v> <part_dik> <pl> <p2s> <loc>
geldiklerinde	gel <v> <part_dik> <pl> <p2s> <loc> <3s>
geldiklerinde	gel <v> <part_dik> <pl> <p2s> <loc> <3p>
geldiklerinde	gel <v> <part_dik> <pl> <p3s> <loc>
geldiklerinde	gel <v> <part_dik> <pl> <p3s> <loc> <3s>
geldiklerinde	gel <v> <part_dik> <pl> <p3s> <loc> <3p>
geldiklerinde	gel <v> <part_dik> <p3p> <loc>
geldiklerinde	gel <v> <part_dik> <p3p> <loc> <3s>
geldiklerinde	gel <v> <part_dik> <p3p> <loc> <3p>
tahtlarına	taht <n> <pl> <p2s> <dat> <3s>
tahtlarına	taht <n> <pl> <p2s> <dat> <3p>
tahtlarına	taht <n> <pl> <p3s> <dat>
tahtlarına	taht <n> <pl> <p3s> <dat> <3s>
tahtlarına	taht <n> <pl> <p3s> <dat> <3p>
tahtlarına	taht <n> <p3p> <dat>
tahtlarına	taht <n> <p3p> <dat> <3s>
tahtlarına	taht <n> <p3p> <dat> <3p>
oturmuşlardı;	<unk>
etraflarında	etraf <n> <pl> <p2s> <loc> <3s>
etraflarında	etraf <n> <pl> <p2s> <loc> <3p>
etraflarında	etraf <n> <pl> <p3s> <loc>
etraflarında	etraf <n> <pl> <p3s> <loc> <3s>
etraflarında	etraf <n> <pl> <p3s> <loc> <3p>
etraflarında	etraf <n> <p3p> <loc>
etraflarında	etraf <n> <p3p> <loc> <3s>
etraflarında	etraf <n> <p3p> <loc> <3p>
büyük	büyük <adj> <Djn_0> <n>
büyük	büyük <adj> <Djn_0> <n> <3s>
büyük	büyük <adj> <Djn_0> <n> <3p>
bir	bir <adj> <Djn_0> <n>
bir	bir <adj> <Djn_0> <n> <3s>
bir	bir <adj> <Djn_0> <n> <3p>
bir	bir <num>
bir	bir <num> <Dmn_0> <n>
bir	bir <num> <Dmn_0> <n> <3s>
bir	bir <num> <Dmn_0> <n> <3p>
bir	bir <det>
kalabalık	kalabalık <n> <3s>
kalabalık	kalabalık <n> <3p>
kalabalık	kalaba <n> <D_lIK> <n>
kalabalık	kalaba <n> <D_lIK> <n> <3s>
kalabalık	kalaba <n> <D_lIK> <n> <3p>
toplanmıştıher	<unk>
türden	tür <n> <abl> <3s>
türden	tür <n> <abl> <3p>
küçük	küçük <adj> <Djn_0> <n>
küçük	küçük <adj> <Djn_0> <n> <3s>
küçük	küçük <adj> <Djn_0> <n> <3p>
küçük	küçük <n>
küçük	küçük <n> <3s>
küçük	küçük <n> <3p>
kuş	kuş <n> <3s>
kuş	kuş <n> <3p>
ve	ve <cnjadv>
hayvanın	hayvan <adj> <Djn_0> <n> <p2s> <3s>
hayvanın	hayvan <adj> <Djn_0> <n> <p2s> <3p>
hayvanın	hayvan <adj> <Djn_0> <n> <gen>
hayvanın	hayvan <adj> <Djn_0> <n> <gen> <3s>
hayvanın	hayvan <adj> <Djn_0> <n> <gen> <3p>
hayvanın	hayvan <n> <p2s>
hayvanın	hayvan <n> <p2s> <3s>
hayvanın	hayvan <n> <p2s> <3p>
hayvanın	hayvan <n> <gen>
hayvanın	hayvan <n> <gen> <3s>
hayvanın	hayvan <n> <gen> <3p>
yanı	yan <n> <p3s> <3s>
yanı	yan <n> <p3s> <3p>
yanı	yan <n> <acc>
yanı	yan <n> <acc> <3s>
yanı	yan <n> <acc> <3p>
sıra	sıra <n> <3s>
sıra	sıra <n> <3p>
sıra	sır <n> <dat>
sıra	sır <n> <dat> <3s>
sıra	sır <n> <dat> <3p>
bütün	bütün <adj> <Djn_0> <n>
bütün	bütün <adj> <Djn_0> <n> <3s>
bütün	bütün <adj> <Djn_0> <n> <3p>
bütün	bütün <det>
kart	kart <adj> <Djn_0> <n>
kart	kart <adj> <Djn_0> <n> <3s>
kart	kart <adj> <Djn_0> <n> <3p>
kart	kart <n>
kart	kart <n> <3s>
kart	kart <n> <3p>
destesi	deste <n> <p3s> <3s>
destesi	deste <n> <p3s> <3p>
de	de <v> <t_imp> <2s>
de	de <v> <t_imp> <3p>
vardı:	varit <n> <p3s> <3s>
vardı:	varit <n> <p3s> <3p>
vardı:	varit <n> <acc>
vardı:	varit <n> <acc> <3s>
vardı:	varit <n> <acc> <3p>
vardı:	var <n> <cpl_di> <3s>
vardı:	var <n> <cpl_di> <3p>
vardı:	var <n> <3p> <cpl_di>
vardı:	var <v> <t_past> <3s>
vardı:	var <v> <t_past> <3p>
vardı:	var <exist> <cpl_di> <3s>
vardı:	var <exist> <cpl_di> <3p>
vardı:	var <exist> <3p> <cpl_di>
Vale,	vale <n> <3s>
Vale,	vale <n> <3p>
her	<unk>
iki	iki <num> <Dmn_0> <n>
iki	iki <num> <Dmn_0> <n> <3s>
iki	iki <num> <Dmn_0> <n> <3p>
yanında	yan <n> <p2s> <loc> <3s>
yanında	yan <n> <p2s> <loc> <3p>
yanında	yan <n> <p3s> <loc>
yanında	yan <n> <p3s> <loc> <3s>
yanında	yan <n> <p3s> <loc> <3p>
kendisini	kendi <n> <p3s> <acc> <3s>
kendisini	kendi <n> <p3s> <acc> <3p>
kendisini	kendi <prn> <p3s> <acc>
kendisini	kendi <prn> <p3s> <acc> <3s>
kendisini	kendi <prn> <p3s> <acc> <3p>
koruyan	koru <v> <part_yan> <3s>
koruyan	koru <v> <part_yan> <3p>
bir	bir <adj> <Djn_0> <n>
bir	bir <adj> <Djn_0> <n> <3s>
bir	bir <adj> <Djn_0> <n> <3p>
bir	bir <num>
bir	bir <num> <Dmn_0> <n>
bir	bir <num> <Dmn_0> <n> <3s>
bir	bir <num> <Dmn_0> <n> <3p>
bir	bir <det>
askerle	asker <n> <D_lA> <v> <t_imp> <3p>
askerle	asker <n> <ins>
askerle	asker <n> <ins> <3s>
askerle	asker <n> <ins> <3p>
zincirlenmiş	zincirle <v> <pass> <t_narr> <3p>
zincirlenmiş	zincirle <v> <pass> <cv_mis>
zincirlenmiş	zincir <n> <D_lAn> <v> <t_narr> <3s>
zincirlenmiş	zincir <n> <D_lAn> <v> <t_narr> <3p>
zincirlenmiş	zincir <n> <D_lAn> <v> <cv_mis>
halde	hal <n> <loc>
halde	hal <n> <loc> <3s>
halde	hal <n> <loc> <3p>
önlerinde	ön <n> <pl> <p2s> <loc> <3s>
önlerinde	ön <n> <pl> <p2s> <loc> <3p>
önlerinde	ön <n> <pl> <p3s> <loc>
önlerinde	ön <n> <pl> <p3s> <loc> <3s>
önlerinde	ön <n> <pl> <p3s> <loc> <3p>
önlerinde	ön <n> <p3p> <loc>
önlerinde	ön <n> <p3p> <loc> <3s>
önlerinde	ön <n> <p3p> <loc> <3p>
duruyordu;	dur <v> <t_cont> <cpl_di> <3p>
duruyordu;	dur <v> <t_cont> <3p> <cpl_di>
Kralın	kral <n> <p2s> <3s>
Kralın	kral <n> <p2s> <3p>
Kralın	kral <n> <gen>
Kralın	kral <n> <gen> <3s>
Kralın	kral <n> <gen> <3p>
yakınında	yakın <adj> <Djn_0> <n> <p2s> <loc> <3s>
yakınında	yakın <adj> <Djn_0> <n> <p2s> <loc> <3p>
yakınında	yakın <adj> <Djn_0> <n> <p3s> <loc>
yakınında	yakın <adj> <Djn_0> <n> <p3s> <loc> <3s>
yakınında	yakın <adj> <Djn_0> <n> <p3s> <loc> <3p>
ise	is <n> <dat> <3s>
ise	is <n> <dat> <3p>
ise	i <v> <cpl_sa> <3s>
ise	i <v> <cpl_sa> <3p>
ise	i <v> <3p> <cpl_sa>
bir	bir <adj> <Djn_0> <n>
bir	bir <adj> <Djn_0> <n> <3s>
bir	bir <adj> <Djn_0> <n> <3p>
bir	bir <num>
bir	bir <num> <Dmn_0> <n>
bir	bir <num> <Dmn_0> <n> <3s>
bir	bir <num> <Dmn_0> <n> <3p>
bir	bir <det>
elinde	el <n> <p2s> <loc> <3s>
elinde	el <n> <p2s> <loc> <3p>
elinde	el <n> <p3s> <loc>
elinde	el <n> <p3s> <loc> <3s>
elinde	el <n> <p3s> <loc> <3p>
trompet,	trompet <n> <3s>
trompet,	trompet <n> <3p>
diğer	diğer <adj> <Djn_0> <n>
diğer	diğer <adj> <Djn_0> <n> <3s>
diğer	diğer <adj> <Djn_0> <n> <3p>
diğer	diğer <det>
elinde	el <n> <p2s> <loc> <3s>
elinde	el <n> <p2s> <loc> <3p>
elinde	el <n> <p3s> <loc>
elinde	el <n> <p3s> <loc> <3s>
elinde	el <n> <p3s> <loc> <3p>
bir	bir <adj> <Djn_0> <n>
bir	bir <adj> <Djn_0> <n> <3s>
bir	bir <adj> <Djn_0> <n> <3p>
bir	bir <num>
bir	bir <num> <Dmn_0> <n>
bir	bir <num> <Dmn_0> <n> <3s>
bir	bir <num> <Dmn_0> <n> <3p>
bir	bir <det>
parşömen	parşömen <n> <3s>
parşömen	parşömen <n> <3p>
tomarı	tomar <n> <p3s> <3s>
tomarı	tomar <n> <p3s> <3p>
tomarı	tomar <n> <acc>
tomarı	tomar <n> <acc> <3s>
tomarı	tomar <n> <acc> <3p>
vardı.	varit <n> <p3s> <3s>
vardı.	varit <n> <p3s> <3p>
vardı.	varit <n> <acc>
vardı.	varit <n> <acc> <3s>
vardı.	varit <n> <acc> <3p>
vardı.	var <n> <cpl_di> <3s>
vardı.	var <n> <cpl_di> <3p>
vardı.	var <n> <3p> <cpl_di>
vardı.	var <v> <t_past> <3s>
vardı.	var <v> <t_past> <3p>
vardı.	var <exist> <cpl_di> <3s>
vardı.	var <exist> <cpl_di> <3p>
vardı.	var <exist> <3p> <cpl_di>
</S> </S>+ESTag
<S> <S>+BSTag
Mahkemenin	mahkeme <n> <p2s> <gen> <3s>
Mahkemenin	mahkeme <n> <p2s> <gen> <3p>
Mahkemenin	mahkeme <n> <gen>
Mahkemenin	mahkeme <n> <gen> <3s>
Mahkemenin	mahkeme <n> <gen> <3p>
tam	tam <adj> <Djn_0> <n>
tam	tam <adj> <Djn_0> <n> <3s>
tam	tam <adj> <Djn_0> <n> <3p>
ortasında,	orta <adj> <Djn_0> <n> <p3s> <loc> <3s>
ortasında,	orta <adj> <Djn_0> <n> <p3s> <loc> <3p>
ortasında,	orta <n> <p3s> <loc>
ortasında,	orta <n> <p3s> <loc> <3s>
ortasında,	orta <n> <p3s> <loc> <3p>
üzerinde	üzeri <n> <p2s> <loc> <3s>
üzerinde	üzeri <n> <p2s> <loc> <3p>
üzerinde	üzer <n> <p2s> <loc>
üzerinde	üzer <n> <p2s> <loc> <3s>
üzerinde	üzer <n> <p2s> <loc> <3p>
üzerinde	üzer <n> <p3s> <loc>
üzerinde	üzer <n> <p3s> <loc> <3s>
üzerinde	üzer <n> <p3s> <loc> <3p>
büyük	büyük <adj> <Djn_0> <n>
büyük	büyük <adj> <Djn_0> <n> <3s>
büyük	büyük <adj> <Djn_0> <n> <3p>
bir	bir <adj> <Djn_0> <n>
bir	bir <adj> <Djn_0> <n> <3s>
bir	bir <adj> <Djn_0> <n> <3p>
bir	bir <num>
bir	bir <num> <Dmn_0> <n>
bir	bir <num> <Dmn_0> <n> <3s>
bir	bir <num> <Dmn_0> <n> <3p>
bir	bir <det>
tabak	tabak <n> <3s>
tabak	tabak <n> <3p>
tart	tart <n> <3s>
tart	tart <n> <3p>
tart	tart <v> <t_imp> <2s>
tart	tart <v> <t_imp> <3p>
bulunan	bulun <v> <part_yan> <3s>
bulunan	bulun <v> <part_yan> <3p>
bulunan	bul <v> <pass> <part_yan>
bulunan	bul <v> <pass> <part_yan> <3s>
bulunan	bul <v> <pass> <part_yan> <3p>
bir	bir <adj> <Djn_0> <n>
bir	bir <adj> <Djn_0> <n> <3s>
bir	bir <adj> <Djn_0> <n> <3p>
bir	bir <num>
bir	bir <num> <Dmn_0> <n>
bir	bir <num> <Dmn_0> <n> <3s>
bir	bir <num> <Dmn_0> <n> <3p>
bir	bir <det>
masa	masa <n> <3s>
masa	masa <n> <3p>
vardı:	varit <n> <p3s> <3s>
vardı:	varit <n> <p3s> <3p>
vardı:	varit <n> <acc>
vardı:	varit <n> <acc> <3s>
vardı:	varit <n> <acc> <3p>
vardı:	var <n> <cpl_di> <3s>
vardı:	var <n> <cpl_di> <3p>
vardı:	var <n> <3p> <cpl_di>
vardı:	var <v> <t_past> <3s>
vardı:	var <v> <t_past> <3p>
vardı:	var <exist> <cpl_di> <3s>
vardı:	var <exist> <cpl_di> <3p>
vardı:	var <exist> <3p> <cpl_di>
o	o <prn> <pers> <3s>
o	o <prn> <pers> <3p>
o	o <ij>
o	o <det>
kadar	<unk>
iyi	iyi <adj> <Djn_0> <n>
iyi	iyi <adj> <Djn_0> <n> <3s>
iyi	iyi <adj> <Djn_0> <n> <3p>
iyi	iyi <adv>
iyi	iyi <adv> <Dan_0> <n>
iyi	iyi <adv> <Dan_0> <n> <3s>
iyi	iyi <adv> <Dan_0> <n> <3p>
görünüyorlardı	<unk>
ki,	ki <cnjadv>
Alice	ali <n> <D_CA> <adj> <Djn_0> <n>
Alice	ali <n> <D_CA> <adj> <Djn_0> <n> <3s>
Alice	ali <n> <D_CA> <adj> <Djn_0> <n> <3p>
Alice	ali <n> <D_CA> <adv>
Alice	ali <n> <D_CA> <adv> <Dan_0> <n>
Alice	ali <n> <D_CA> <adv> <Dan_0> <n> <3s>
Alice	ali <n> <D_CA> <adv> <Dan_0> <n> <3p>
Alice	ali <n> <D_CA> <n>
Alice	ali <n> <D_CA> <n> <3s>
Alice	ali <n> <D_CA> <n> <3p>
onlara	onlar <prn> <pers> <dat> <3s>
onlara	onlar <prn> <pers> <dat> <3p>
onlara	on <n> <pl> <dat>
onlara	on <n> <pl> <dat> <3s>
onlara	on <n> <pl> <dat> <3p>
onlara	on <num> <Dmn_0> <n> <pl> <dat>
onlara	on <num> <Dmn_0> <n> <pl> <dat> <3s>
onlara	on <num> <Dmn_0> <n> <pl> <dat> <3p>
onlara	o <prn> <pers> <pl> <dat>
onlara	o <prn> <pers> <pl> <dat> <3s>
onlara	o <prn> <pers> <pl> <dat> <3p>
bakmak	bak <v> <vn_mak> <3s>
bakmak	bak <v> <vn_mak> <3p>
bakmak	bak <v> <vinf>
bakmak	bak <v> <cv_mak>
için	için <cnjcoo>
için	iç <adj> <Djn_0> <n> <p2s>
için	iç <adj> <Djn_0> <n> <p2s> <3s>
için	iç <adj> <Djn_0> <n> <p2s> <3p>
için	iç <adj> <Djn_0> <n> <gen>
için	iç <adj> <Djn_0> <n> <gen> <3s>
için	iç <adj> <Djn_0> <n> <gen> <3p>
için	iç <n> <p2s>
için	iç <n> <p2s> <3s>
için	iç <n> <p2s> <3p>
için	iç <n> <gen>
için	iç <n> <gen> <3s>
için	iç <n> <gen> <3p>
için	iç <v> <t_imp> <2p>
epey	epey <adv> <Dan_0> <n>
epey	epey <adv> <Dan_0> <n> <3s>
epey	epey <adv> <Dan_0> <n> <3p>
acıktı"Keşke	<unk>
davayı	dava <n> <acc> <3s>
davayı	dava <n> <acc> <3p>
bitirip	<unk>
ikramları	ikram <n> <pl> <p3s> <3s>
ikramları	ikram <n> <pl> <p3s> <3p>
ikramları	ikram <n> <pl> <acc>
ikramları	ikram <n> <pl> <acc> <3s>
ikramları	ikram <n> <pl> <acc> <3p>
ikramları	ikram <n> <p3p>
ikramları	ikram <n> <p3p> <3s>
ikramları	ikram <n> <p3p> <3p>
dağıtsalar!"	<unk>
diye	de <v> <t_opt> <3p>
diye	diye <cnjsub>
düşündü.	düşün <n> <cpl_di> <3p>
düşündü.	düşün <n> <3p> <cpl_di>
düşündü.	düşün <v> <t_past> <3s>
düşündü.	düşün <v> <t_past> <3p>
düşündü.	düş <n> <p2s> <cpl_di> <3s>
düşündü.	düş <n> <p2s> <cpl_di> <3p>
düşündü.	düş <n> <p2s> <3p> <cpl_di>
düşündü.	düş <n> <gen> <cpl_di> <3s>
düşündü.	düş <n> <gen> <cpl_di> <3p>
düşündü.	düş <n> <gen> <3p> <cpl_di>
</S> </S>+ESTag
<S> <S>+BSTag
Ama	ama <n> <3s>
Ama	ama <n> <3p>
Ama	ama <cnjcoo>
Ama	ama <cnjadv>
bunun	bun <n> <p2s> <3s>
bunun	bun <n> <p2s> <3p>
bunun	bun <n> <gen>
bunun	bun <n> <gen> <3s>
bunun	bun <n> <gen> <3p>
bunun	bu <prn> <dem> <p2s>
bunun	bu <prn> <dem> <p2s> <3s>
bunun	bu <prn> <dem> <p2s> <3p>
bunun	bu <prn> <dem> <gen>
bunun	bu <prn> <dem> <gen> <3s>
bunun	bu <prn> <dem> <gen> <3p>
hiç	hiç <adv> <Dan_0> <n>
hiç	hiç <adv> <Dan_0> <n> <3s>
hiç	hiç <adv> <Dan_0> <n> <3p>
hiç	hiç <n>
hiç	hiç <n> <3s>
hiç	hiç <n> <3p>
şansı	şans <n> <p3s> <3s>
şansı	şans <n> <p3s> <3p>
şansı	şans <n> <acc>
şansı	şans <n> <acc> <3s>
şansı	şans <n> <acc> <3p>
yokmuş	yok <adj> <Djn_0> <n> <cpl_mis> <3p>
yokmuş	yok <adj> <Djn_0> <n> <3p> <cpl_mis>
yokmuş	yok <adv> <Dan_0> <n> <cpl_mis> <3s>
yokmuş	yok <adv> <Dan_0> <n> <cpl_mis> <3p>
yokmuş	yok <adv> <Dan_0> <n> <3p> <cpl_mis>
yokmuş	yok <nexist> <cpl_mis> <3s>
yokmuş	yok <nexist> <cpl_mis> <3p>
yokmuş	yok <nexist> <3p> <cpl_mis>
gibi	gibi <cnjsub>
görünüyordu,	görün <v> <t_cont> <cpl_di> <3p>
görünüyordu,	görün <v> <t_cont> <3p> <cpl_di>
bu	bu <prn> <dem> <3s>
bu	bu <prn> <dem> <3p>
bu	bu <det>
yüzden	yüzde <n> <p2s> <3s>
yüzden	yüzde <n> <p2s> <3p>
yüzden	yüz <n> <abl>
yüzden	yüz <n> <abl> <3s>
yüzden	yüz <n> <abl> <3p>
yüzden	yüz <v> <cv_dan>
yüzden	yüz <num> <Dmn_0> <n> <abl>
yüzden	yüz <num> <Dmn_0> <n> <abl> <3s>
yüzden	yüz <num> <Dmn_0> <n> <abl> <3p>
zamanı	zaman <n> <p3s> <3s>
zamanı	zaman <n> <p3s> <3p>
zamanı	zaman <n> <acc>
zamanı	zaman <n> <acc> <3s>
zamanı	zaman <n> <acc> <3p>
geçirmek	geçir <v> <vn_mak> <3s>
geçirmek	geçir <v> <vn_mak> <3p>
geçirmek	geçir <v> <vinf>
geçirmek	geçir <v> <cv_mak>
geçirmek	geç <v> <caus> <vn_mak>
geçirmek	geç <v> <caus> <vn_mak> <3s>
geçirmek	geç <v> <caus> <vn_mak> <3p>
geçirmek	geç <v> <caus> <vinf>
geçirmek	geç <v> <caus> <cv_mak>
için	için <cnjcoo>
için	iç <adj> <Djn_0> <n> <p2s>
için	iç <adj> <Djn_0> <n> <p2s> <3s>
